Data as of,Start Date,End Date,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Other,Footnote
02/24/2021,01/01/2020,02/20/2021,District of Columbia,Unweighted distribution of population (%),37.5,44.4,0.2,4.3,0,11.3,2.3,
02/24/2021,01/01/2020,02/20/2021,District of Columbia,Weighted distribution of population (%),37.5,44.4,0.2,4.3,0,11.3,2.3,
02/24/2021,01/01/2020,02/20/2021,Florida,Count of COVID-19 deaths,"15,522","4,697",41,403,,"7,007",86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Florida,Distribution of COVID-19 deaths (%),55.9,16.9,0.1,1.5,,25.2,0.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Florida,Unweighted distribution of population (%),53.2,15.5,0.3,2.8,0.1,26.4,1.7,
02/24/2021,01/01/2020,02/20/2021,Florida,Weighted distribution of population (%),36.3,17.6,0.2,2.7,0,41.7,1.4,
02/24/2021,01/01/2020,02/20/2021,Georgia,Count of COVID-19 deaths,"8,200","4,675",10,257,,797,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Georgia,Distribution of COVID-19 deaths (%),58.7,33.5,0.1,1.8,,5.7,0.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Georgia,Unweighted distribution of population (%),52,31.6,0.2,4.3,0.1,9.9,1.9,
02/24/2021,01/01/2020,02/20/2021,Georgia,Weighted distribution of population (%),43.1,37.3,0.2,6.3,0,11,2,
02/24/2021,01/01/2020,02/20/2021,Hawaii,Count of COVID-19 deaths,34,,,201,100,23,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Hawaii,Distribution of COVID-19 deaths (%),8.4,,,49.8,24.8,5.7,10.6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Hawaii,Unweighted distribution of population (%),21.7,2,0.2,36.4,9.4,10.7,19.7,
02/24/2021,01/01/2020,02/20/2021,Hawaii,Weighted distribution of population (%),18.4,2.5,0.2,40.9,9,10.1,18.9,
02/24/2021,01/01/2020,02/20/2021,Idaho,Count of COVID-19 deaths,"1,539",,32,22,,189,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Idaho,Distribution of COVID-19 deaths (%),85.3,,1.8,1.2,,10.5,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Idaho,Unweighted distribution of population (%),81.6,0.8,1.1,1.4,0.2,12.8,2.1,
02/24/2021,01/01/2020,02/20/2021,Idaho,Weighted distribution of population (%),82.6,1,0.7,2.1,0.2,11,2.4,
02/24/2021,01/01/2020,02/20/2021,Illinois,Count of COVID-19 deaths,"12,101","3,310",16,733,,"3,215",98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Illinois,Distribution of COVID-19 deaths (%),62.1,17,0.1,3.8,,16.5,0.5,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Illinois,Unweighted distribution of population (%),60.8,14.1,0.2,5.8,0,17.5,1.7,
02/24/2021,01/01/2020,02/20/2021,Illinois,Weighted distribution of population (%),43.6,22,0.1,7.7,0,25,1.6,
02/24/2021,01/01/2020,02/20/2021,Indiana,Count of COVID-19 deaths,"9,084","1,069",12,95,,405,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Indiana,Distribution of COVID-19 deaths (%),85,10,0.1,0.9,,3.8,0.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Indiana,Unweighted distribution of population (%),78.4,9.6,0.2,2.5,0,7.3,1.9,
02/24/2021,01/01/2020,02/20/2021,Indiana,Weighted distribution of population (%),62.9,20.6,0.2,3.4,0,10.6,2.4,
02/24/2021,01/01/2020,02/20/2021,Iowa,Count of COVID-19 deaths,"5,064",148,37,63,12,159,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Iowa,Distribution of COVID-19 deaths (%),92.2,2.7,0.7,1.1,0.2,2.9,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Iowa,Unweighted distribution of population (%),85,3.9,0.3,2.6,0.1,6.3,1.7,
02/24/2021,01/01/2020,02/20/2021,Iowa,Weighted distribution of population (%),79.6,6.3,0.3,4,0.1,7.6,2.2,
02/24/2021,01/01/2020,02/20/2021,Kansas,Count of COVID-19 deaths,"3,667",259,50,60,,365,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Kansas,Distribution of COVID-19 deaths (%),82.2,5.8,1.1,1.3,,8.2,1.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Kansas,Unweighted distribution of population (%),75.4,5.7,0.8,3.1,0.1,12.2,2.6,
02/24/2021,01/01/2020,02/20/2021,Kansas,Weighted distribution of population (%),71.5,7.6,0.6,4.5,0.1,12.9,2.8,
02/24/2021,01/01/2020,02/20/2021,Kentucky,Count of COVID-19 deaths,"5,156",512,,30,,102,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Kentucky,Distribution of COVID-19 deaths (%),88.7,8.8,,0.5,,1.8,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Kentucky,Unweighted distribution of population (%),84.1,8.2,0.2,1.6,0.1,3.9,1.9,
02/24/2021,01/01/2020,02/20/2021,Kentucky,Weighted distribution of population (%),70.1,18.8,0.1,2.9,0.1,5.7,2.3,
02/24/2021,01/01/2020,02/20/2021,Louisiana,Count of COVID-19 deaths,"4,569","3,166",27,60,,222,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Louisiana,Distribution of COVID-19 deaths (%),56.7,39.3,0.3,0.7,,2.8,0.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Louisiana,Unweighted distribution of population (%),58.4,32.3,0.7,1.8,0,5.3,1.5,
02/24/2021,01/01/2020,02/20/2021,Louisiana,Weighted distribution of population (%),51.2,37.4,0.4,2.7,0,6.8,1.5,
02/24/2021,01/01/2020,02/20/2021,Maine,Count of COVID-19 deaths,725,11,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Maine,Distribution of COVID-19 deaths (%),96.3,1.5,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Maine,Unweighted distribution of population (%),93,1.6,0.7,1.3,0,1.8,1.7,
02/24/2021,01/01/2020,02/20/2021,Maine,Weighted distribution of population (%),91.8,2.2,0.5,1.8,0,1.9,1.8,
02/24/2021,01/01/2020,02/20/2021,Maryland,Count of COVID-19 deaths,"4,356","2,958",10,314,,766,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Maryland,Distribution of COVID-19 deaths (%),51.7,35.1,0.1,3.7,,9.1,0.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Maryland,Unweighted distribution of population (%),50,29.9,0.2,6.6,0.1,10.6,2.5,
02/24/2021,01/01/2020,02/20/2021,Maryland,Weighted distribution of population (%),41.4,33.8,0.2,8.5,0,13.5,2.4,
02/24/2021,01/01/2020,02/20/2021,Massachusetts,Count of COVID-19 deaths,"9,679",901,,389,,913,152,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Massachusetts,Distribution of COVID-19 deaths (%),80.3,7.5,,3.2,,7.6,1.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Massachusetts,Unweighted distribution of population (%),71.1,7.3,0.2,7.1,0,12.4,1.9,
02/24/2021,01/01/2020,02/20/2021,Massachusetts,Weighted distribution of population (%),68.8,7.5,0.2,8.7,0,12.9,1.9,
02/24/2021,01/01/2020,02/20/2021,Michigan,Count of COVID-19 deaths,"9,902","3,317",56,138,,488,155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Michigan,Distribution of COVID-19 deaths (%),70.4,23.6,0.4,1,,3.5,1.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Michigan,Unweighted distribution of population (%),74.7,13.8,0.6,3.3,0,5.3,2.3,
02/24/2021,01/01/2020,02/20/2021,Michigan,Weighted distribution of population (%),61.6,25.6,0.3,4.7,0,5.5,2.3,
02/24/2021,01/01/2020,02/20/2021,Minnesota,Count of COVID-19 deaths,"5,789",325,93,259,,190,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Minnesota,Distribution of COVID-19 deaths (%),86.6,4.9,1.4,3.9,,2.8,0.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Minnesota,Unweighted distribution of population (%),79.1,6.8,1.1,5.1,0.1,5.6,2.3,
02/24/2021,01/01/2020,02/20/2021,Minnesota,Weighted distribution of population (%),69.4,12.1,0.7,8.2,0,6.7,2.9,
02/24/2021,01/01/2020,02/20/2021,Mississippi,Count of COVID-19 deaths,"3,674","2,581",104,29,,56,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Mississippi,Distribution of COVID-19 deaths (%),56.9,40,1.6,0.4,,0.9,0.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Mississippi,Unweighted distribution of population (%),56.4,37.4,0.5,1.1,0,3.4,1.2,
02/24/2021,01/01/2020,02/20/2021,Mississippi,Weighted distribution of population (%),47.5,46.6,0.2,1.2,0,3.1,1.2,
02/24/2021,01/01/2020,02/20/2021,Missouri,Count of COVID-19 deaths,"8,139","1,165",37,90,13,206,43,
02/24/2021,01/01/2020,02/20/2021,Missouri,Distribution of COVID-19 deaths (%),84,12,0.4,0.9,0.1,2.1,0.4,
02/24/2021,01/01/2020,02/20/2021,Missouri,Unweighted distribution of population (%),79.1,11.6,0.4,2.1,0.1,4.4,2.2,
02/24/2021,01/01/2020,02/20/2021,Missouri,Weighted distribution of population (%),68.3,21.1,0.3,3.6,0.1,4.3,2.3,
02/24/2021,01/01/2020,02/20/2021,Montana,Count of COVID-19 deaths,"1,107",,267,,,36,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Montana,Distribution of COVID-19 deaths (%),77.3,,18.6,,,2.5,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Montana,Unweighted distribution of population (%),85.9,0.5,6.1,0.9,0.1,4.1,2.5,
02/24/2021,01/01/2020,02/20/2021,Montana,Weighted distribution of population (%),87,0.7,3.8,0.9,0.1,4.9,2.7,
02/24/2021,01/01/2020,02/20/2021,Nebraska,Count of COVID-19 deaths,"2,247",88,18,23,0,200,11,
02/24/2021,01/01/2020,02/20/2021,Nebraska,Distribution of COVID-19 deaths (%),86.9,3.4,0.7,0.9,0,7.7,0.4,
02/24/2021,01/01/2020,02/20/2021,Nebraska,Unweighted distribution of population (%),78.2,4.9,0.8,2.7,0.1,11.4,1.9,
02/24/2021,01/01/2020,02/20/2021,Nebraska,Weighted distribution of population (%),71.5,9.3,0.5,4.2,0.1,12.2,2.4,
02/24/2021,01/01/2020,02/20/2021,Nevada,Count of COVID-19 deaths,"2,451",459,57,541,49,"1,258",31,
02/24/2021,01/01/2020,02/20/2021,Nevada,Distribution of COVID-19 deaths (%),50.6,9.5,1.2,11.2,1,26,0.6,
02/24/2021,01/01/2020,02/20/2021,Nevada,Unweighted distribution of population (%),48.2,9.3,0.9,8.3,0.6,29.2,3.5,
02/24/2021,01/01/2020,02/20/2021,Nevada,Weighted distribution of population (%),42.5,11.5,0.5,9.7,0.7,31.4,3.8,
02/24/2021,01/01/2020,02/20/2021,New Hampshire,Count of COVID-19 deaths,"1,099",11,0,14,0,29,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Hampshire,Distribution of COVID-19 deaths (%),94.9,0.9,0,1.2,0,2.5,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Hampshire,Unweighted distribution of population (%),89.8,1.5,0.2,2.9,0,4,1.6,
02/24/2021,01/01/2020,02/20/2021,New Hampshire,Weighted distribution of population (%),86.1,2.1,0.2,3.8,0,6.1,1.7,
02/24/2021,01/01/2020,02/20/2021,New Jersey,Count of COVID-19 deaths,"11,904","3,396",15,"1,268",,"4,293",78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Jersey,Distribution of COVID-19 deaths (%),56.8,16.2,0.1,6.1,,20.5,0.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Jersey,Unweighted distribution of population (%),54.6,12.9,0.1,9.8,0,20.9,1.6,
02/24/2021,01/01/2020,02/20/2021,New Jersey,Weighted distribution of population (%),50.4,14.1,0.1,11.4,0,22.4,1.5,
02/24/2021,01/01/2020,02/20/2021,New Mexico,Count of COVID-19 deaths,944,44,"1,060",19,,"1,295",,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Mexico,Distribution of COVID-19 deaths (%),28,1.3,31.4,0.6,,38.4,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New Mexico,Unweighted distribution of population (%),36.8,1.9,8.8,1.6,0.1,49.3,1.5,
02/24/2021,01/01/2020,02/20/2021,New Mexico,Weighted distribution of population (%),37.4,2.3,6.6,2.3,0.1,49.6,1.8,
02/24/2021,01/01/2020,02/20/2021,New York,Count of COVID-19 deaths,"15,612","2,552",50,652,,"2,473",107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New York,Distribution of COVID-19 deaths (%),72.8,11.9,0.2,3,,11.5,0.5,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New York,Unweighted distribution of population (%),72.6,8.9,0.3,4.4,0,11.9,1.8,
02/24/2021,01/01/2020,02/20/2021,New York,Weighted distribution of population (%),63.9,10.7,0.2,6.3,0,17.2,1.6,
02/24/2021,01/01/2020,02/20/2021,New York City,Count of COVID-19 deaths,"7,081","6,862",,"2,662",,"7,542","1,002",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New York City,Distribution of COVID-19 deaths (%),28.1,27.3,,10.6,,30,4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,New York City,Unweighted distribution of population (%),32.2,21.9,0.2,14.7,0.1,29.1,1.8,
02/24/2021,01/01/2020,02/20/2021,New York City,Weighted distribution of population (%),31.3,23,0.2,15.4,0.1,28.1,1.9,
02/24/2021,01/01/2020,02/20/2021,North Carolina,Count of COVID-19 deaths,"3,060","1,469",66,73,,364,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,North Carolina,Distribution of COVID-19 deaths (%),60.7,29.1,1.3,1.4,,7.2,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,North Carolina,Unweighted distribution of population (%),62.6,21.4,1.1,3.1,0.1,9.8,2,
02/24/2021,01/01/2020,02/20/2021,North Carolina,Weighted distribution of population (%),55.2,25.7,0.6,5.2,0.1,11.2,2.1,
02/24/2021,01/01/2020,02/20/2021,North Dakota,Count of COVID-19 deaths,"1,399",10,136,,0,29,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,North Dakota,Distribution of COVID-19 deaths (%),87.9,0.6,8.5,,0,1.8,0.8,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,North Dakota,Unweighted distribution of population (%),83.7,3.3,5.1,1.6,0.1,4.1,2.1,
02/24/2021,01/01/2020,02/20/2021,North Dakota,Weighted distribution of population (%),84.9,5,2.1,2.6,0.1,3.3,2,
02/24/2021,01/01/2020,02/20/2021,Ohio,Count of COVID-19 deaths,"15,899","2,212",11,169,,316,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Ohio,Distribution of COVID-19 deaths (%),85.3,11.9,0.1,0.9,,1.7,0.1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Ohio,Unweighted distribution of population (%),78.4,12.7,0.2,2.5,0,4,2.2,
02/24/2021,01/01/2020,02/20/2021,Ohio,Weighted distribution of population (%),66.4,22.3,0.2,3.5,0,5.1,2.4,
02/24/2021,01/01/2020,02/20/2021,Oklahoma,Count of COVID-19 deaths,"5,016",408,680,85,18,406,155,
02/24/2021,01/01/2020,02/20/2021,Oklahoma,Distribution of COVID-19 deaths (%),74.1,6,10,1.3,0.3,6,2.3,
02/24/2021,01/01/2020,02/20/2021,Oklahoma,Unweighted distribution of population (%),65,7.4,8.4,2.3,0.2,11.1,5.7,
02/24/2021,01/01/2020,02/20/2021,Oklahoma,Weighted distribution of population (%),58.8,12.5,4.6,3.5,0.1,15.4,5.1,
02/24/2021,01/01/2020,02/20/2021,Oregon,Count of COVID-19 deaths,"1,555",39,45,74,15,229,14,
02/24/2021,01/01/2020,02/20/2021,Oregon,Distribution of COVID-19 deaths (%),78.9,2,2.3,3.8,0.8,11.6,0.7,
02/24/2021,01/01/2020,02/20/2021,Oregon,Unweighted distribution of population (%),75.1,2,1.1,4.7,0.4,13.4,3.3,
02/24/2021,01/01/2020,02/20/2021,Oregon,Weighted distribution of population (%),70.3,3.7,0.8,7.1,0.6,13.8,3.7,
02/24/2021,01/01/2020,02/20/2021,Pennsylvania,Count of COVID-19 deaths,"19,385","2,896",,448,,974,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Pennsylvania,Distribution of COVID-19 deaths (%),81.6,12.2,,1.9,,4.1,0.2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Pennsylvania,Unweighted distribution of population (%),75.7,10.9,0.1,3.7,0,7.8,1.7,
02/24/2021,01/01/2020,02/20/2021,Pennsylvania,Weighted distribution of population (%),63.5,19.5,0.2,5.5,0,9.5,1.9,
02/24/2021,01/01/2020,02/20/2021,Rhode Island,Count of COVID-19 deaths,"1,958",111,,49,,185,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Rhode Island,Distribution of COVID-19 deaths (%),84.5,4.8,,2.1,,8,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,Rhode Island,Unweighted distribution of population (%),71.4,6.1,0.4,3.6,0.1,16.3,2.1,
02/24/2021,01/01/2020,02/20/2021,Rhode Island,Weighted distribution of population (%),61.6,8.5,0.4,4.3,0.1,22.9,2.3,
02/24/2021,01/01/2020,02/20/2021,South Carolina,Count of COVID-19 deaths,"4,350","2,251",15,52,,164,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,South Carolina,Distribution of COVID-19 deaths (%),63.6,32.9,0.2,0.8,,2.4,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/24/2021,01/01/2020,02/20/2021,South Carolina,Unweighted distribution of population (%),63.7,26.4,0.4,1.8,0.1,6,1.8,
02/24/2021,01/01/2020,02/20/2021,South Carolina,Weighted distribution of population (%),64.3,24.9,0.3,2.1,0.1,6.5,1.8,
02/24/2021,01/01/2020,02/20/2021,South Dakota,Count of COVID-19 deaths,"1,625",,223,19,,24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
